33226224_494.cml_Service_messages_0	Service messages	"Service messages."
34074343_267.cml_Drive-off_assistant_0	Drive-off assistant	"The concept

 This system supports driving off on inclines. The parking brake is not required."
34074343_267.cml_Drive-off_assistant_1	Drive-off assistant	"Driving off with the drive-off assistant

 1. Hold the vehicle in place with the foot brake.
2. Release the foot brake and drive off without delay.After the foot brake is released, the vehicle is held in place for approx. 2 seconds.
For vehicles with respective equipment versions, the possible holding duration amounts to 2 minutes."
34074466_544.cml_Front_lights,_bulb_replacement_0	Front lights, bulb replacement	"Overview

 Position of the headlights Position of the headlights Position of the bug lights Position of the bug lights"
34074466_544.cml_Front_lights,_bulb_replacement_1	Front lights, bulb replacement	"Low beams/high beams

 Follow the general instructions on lights and bulbs.
The lights feature LED technology. In the case of a malfunction, contact a dealer's service center or another qualified service center or repair shop. Low beams/high beams

 Follow the general instructions on lights and bulbs.
Bulbs: H4
1. Open the hood.
2. Turn the lid counterclockwise, arrow, and remove.
3. Pull off the connector.
4. Unclip spring clip, arrow, and fold down.
5. Remove the bulb from the headlight housing.
6. Insert the new bulb and install the cover in the reverse order."
34074466_544.cml_Front_lights,_bulb_replacement_2	Front lights, bulb replacement	"Turn signal

 Follow the general instructions on lights and bulbs.
Bulbs: PW24W Bulbs: PWY24W 1. Turn the steering wheel.
2. Turn the lid counterclockwise, arrow 1, and remove.
3. Unscrew the inner lid counterclockwise, and remove it.
4. Pull bulb holder out of the bulb housing; if needed, loosen it with small tilting movements if possible.
5. Pull the bulb out of the fixture.
6. Insert the new bulb and install the cover in the reverse order."
34074466_544.cml_Front_lights,_bulb_replacement_3	Front lights, bulb replacement	"Parking lights/fog lights

 Follow the general instructions on lights and bulbs.
The lights feature LED technology. In the case of a malfunction, contact a dealer's service center or another qualified service center or repair shop. Parking lights/fog lights/daytime running lights 

 Follow the general instructions on lights and bulbs.
Bulbs:
- Parking lights: W5W NBV
- Daytime running light: PSX24W
- Fog lamp: H8Replacing the bulbs

 1. Turn the steering wheel.
2. Turn the lid counterclockwise, arrow 2, and remove.
3. Pull off the connector.
4. Remove the bulb holder.
- Parking lights: turn the bulb holder, arrow 1, counter-clockwise and remove.
- Daytime running lights: press together the upper and lower locking of the bulb holder, arrow 2, and remove the bulb holder.
For better accessibility, remove the bulb of the fog lamp as needed.
- Fog lamps: turn the bulb holder, arrow 3, counter-clockwise and remove.
5. Pull the bulb out of the fixture.
6. Insert the new bulb and install the cover in the reverse order.
The daytime running lights bulb holder engages audibly, first below, then above."
34074634_49.cml_Using_the_phone_0	Using the phone	"Accepting a call

 Incoming call can be accepted via the onboard monitor or the button on the steering wheel.
Via the onboard monitor:

  Accept 
Via the button on the steering wheel

 Press button. Via the instrument cluster

 Use the OK button on the steering wheel to select:  Accept "
34074634_49.cml_Using_the_phone_1	Using the phone	"Dialing a number

 1.  Telephone 
2.  Dial number 
3. Select the digits individually.
4. Select the symbol.If connection is to be set up via phone 2: 1. Select the digits individually.
2. Open  Options .
3.  Call via "
34074690_229.cml_Carry_out_reset_0	Carry out reset	"Reset the system after each adjustment of the tire inflation pressure and after every tire or wheel change.
1. Start the engine - do not drive off.
2. Press button.
3.  Vehicle Info 
4.  Vehicle status 
5.  Tire Pressure Monitor (TPM) 
6. To reset the tire pressure:  Perform reset 
7. Drive away. Resetting…  is displayed.
After driving faster than 30 km/h 30 km/h, 19 mph 19 mph/30 km/h  for a short period, the set tire inflation pressures are accepted as reference values. The resetting process is completed automatically while driving.
You may interrupt this trip at any time. When you continue the reset resumes automatically."
34074767_535.cml_Adding_engine_oil_0	Adding engine oil	"Information

 Protect children
Adding engine oil
Do not add too much engine oil"
34074767_535.cml_Adding_engine_oil_1	Adding engine oil	"General information

 Only add engine oil when the message is displayed in the instrument cluster. The quantity to be added is indicated in the message displayed in the instrument cluster.
Switch off the ignition and safely park the vehicle before engine oil is added."
34074767_535.cml_Adding_engine_oil_2	Adding engine oil	"Overview

 Oil filler neck in the engine compartment"
34074767_535.cml_Adding_engine_oil_3	Adding engine oil	"Opening the oil filler neck

 1. Open the hood.
2. Turn the oil filler neck counter-clockwise, arrow.
3. Add engine oil.After refilling, perform a detailed measurement."
34074921_262.cml_MID_0	MID	"For balanced tuning.
With each starting operation, MID is activated using the Start/Stop button."
34075421_22.cml_Entering_the_rear_0	Entering the rear	"1. Pull lever up to the stop.
2. Fold backrest forward.
3. Push the seat forward."
