33226224_635.cml_Service_messages_0	Service messages	"Service messages."
34320665_189.cml_Driving_with_the_combustion_engine:_POWER_0	Driving with the combustion engine: POWER	"Depending on the operating state, the combustion engine is automatically switched on:
- Selector lever position Sport is set.
- Speed for electric driving is exceeded.
- The high-voltage battery has an insufficient charge.
- High-voltage battery is completely charged, for example, when driving downhill.
- For improved traction, for example, on slippery roads.
- During intense accelerations or on inclines.
- System-related requirement for hybrid components.
- Adapting to the course of the road when destination guidance is activated.When reducing speed, the combustion engine is switched off when the conditions for electric driving are met."
34321696_318.cml_Performance_Control_0	Performance Control	"Performance Control enhances the agility of the vehicle.
To increase maneuverability, with a correspondingly sporty driving style, wheels are braked individually. The resulting braking power is simultaneously largely compensated by an engine intervention.
Due to the variable drive configuration, this intervention can be done either on the front axle, the rear axle or on both axles simultaneously."
34321826_824.cml_Cleaning_the_camera_0	Cleaning the camera	"The lens of the camera is located on the front of the vehicle.
To clean, use a cloth moistened with a small amount of glass detergent."
34321919_711.cml_Engine_oil_types_to_add_0	Engine oil types to add	"Information

 No oil additives
Viscosity grades for engine oils
The engine oil quality is critical for the life of the engine.
Some types of engine oils may not be available in all countries."
34321919_711.cml_Engine_oil_types_to_add_1	Engine oil types to add	"Viscosity grades

 When selecting an engine oil, ensure that the engine oil belongs to one of the viscosity grades SAE 0W-40, SAE 0W-30, SAE 5W-40, SAE 5W-30, 0W-20 or 5W-20. When selecting an engine oil, make sure that the engine oil has the viscosity grade SAE 0W-30 or SAE 0W-20. Alternatively, also engine oils with viscosity grades SAE 5W-20, SAE 5W-30, SAE 0W-40 or SAE 5W-40 can be used. The viscosity grades SAE 0W-20 or SAE 5W-20 are only suitable for particular engines. When selecting an engine oil, make sure that the engine oil has the viscosity grade SAE 0W-30. Alternatively, also engine oils with viscosity grades SAE 5W-30, SAE 0W-40 or SAE 5W-40 can be used. The viscosity grades 0W-20 and 5W-20 are only suitable for particular engines. More information about suitable engine oil ratings and viscosities of engine oils can be requested from a dealer's service center or another qualified service center or repair shop."
34321919_711.cml_Engine_oil_types_to_add_2	Engine oil types to add	"Suitable engine oil types

 Add engine oils that meet the following oil rating standards: You can add engine oils that meet the following oil rating standards: Oil rating
BMW Longlife-01 FE. Oil rating
BMW Longlife-12 FE. Oil rating
BMW Longlife-01.
BMW Longlife-01 FE.
BMW Longlife-04. BMW Longlife-12 FE. Oil rating
BMW Longlife-04.
BMW Longlife-12 FE. The oil rating BMW Longlife-12 FE+ is only suitable for particular diesel motors. More information about suitable engine oil ratings and viscosities of engine oils is available at a dealer's service center or another qualified service center or repair shop."
34321919_711.cml_Engine_oil_types_to_add_3	Engine oil types to add	"Alternative engine oil types

 If approved engine oils are not available, up to 1 liter 1 liter, approx. 2 pints  of an engine oil with the following oil rating can be added: If an engine oil suitable for continuous use is not available, up to 1 US quart/liter of an engine oil with the following oil rating can be added: Oil rating
BMW Longlife-01.
API SL or superior oil rating. Oil rating
BMW Longlife-04.
API SL or superior oil rating. Oil rating
ACEA A3/B4. Oil rating
ACEA C3."
34322172_369.cml_Displays_in_the_instrument_cluster_0	Displays in the instrument cluster	"Symbol
Description
Traffic Jam Assist and Distance Control on standby.
  Traffic Jam Assist on standby. Distance control controls within the set distance.
  Traffic Jam Assist activated. The system controls the speed and assists with maintaining the lane.
  Rolling bars while driving: speed is no longer increased by the Traffic Jam Assist at 40 km/h 40 km/h/25 mph 25 mph/40 km/h . When the speed is increased by the driver, the system does not perform any more steering movements. Flashing bar while driving: speed is no longer increased by the Traffic Jam Assist at 40 km/h 40 km/h/25 mph 25 mph/40 km/h . The system does not manipulate steering. Rolling bars while driving: Flashing bar while driving:  speed is no longer increased by the Traffic Jam Assist at 60 km/h 60 km/h/35 mph 35 mph/60 km/h . During acceleration by depressing the accelerator pedal, if the RES button or rocker switch are pressed, the system does not execute any steering movements anymore. During acceleration by depressing the accelerator pedal, if the RES button or rocker switch are pressed, the system does not execute any steering movements anymore.   Red flashing and signal tone: Traffic Jam Assist is interrupted. The system does not manipulate steering. ACC controls."
34323121_57.cml_Check_engine_oil_level_with_dipstick_0	Check engine oil level with dipstick	"1. Park the vehicle in a level and safe place with the Range Extender at operating temperature.
2. Switch the engine off.
3. Remove the cargo floor panel.
4. Turn the lid counterclockwise and remove.
5. After approx. 5, minutes, remove the dip stick and wipe with a lint-free cloth, paper towel or similar.
6. Carefully insert the dipstick up to the stop in the measuring tube, and pull it back out.
The engine oil level must be between the two marks of the dipstick."
34323435_733.cml_Lights_and_bulbs_0	Lights and bulbs	"General information

 All headlights and lights are made using LED or laser technology. In the case of a malfunction, contact a dealer's service center or another qualified service center or repair shop.
Headlight glass

 Condensation can form on the inside of the external lights in cool or humid weather. When driving with the lights switched on, the condensation evaporates after a short time. The headlight glass does not need to be changed.
If despite driving with the lights switched on, increasing humidity forms, e. g. water droplets in the lamp, the manufacturer of your vehicle recommends having it checked by a dealer's service center or another qualified service center or repair shop.
Light-emitting diodes (LEDs)

 Some items of equipment use light-emitting diodes installed behind a cover as a light source.
These light-emitting diodes, which are related to conventional lasers, are officially designated as Class 1 light-emitting diodes."
